,date,매출액,매출원가,매출총이익,영업이익,순이익,자산총계,매출총이익률,영업이익률,주당순이익EPS(달러),주가수익배수PER(배),총자산이익률ROA(%)
0,2015-01-02,,,,,,,,,,,
1,2015-01-05,,,,,,,,,,,
2,2015-01-06,,,,,,,,,,,
3,2015-01-07,,,,,,,,,,,
4,2015-01-08,,,,,,,,,,,
5,2015-01-09,,,,,,,,,,,
6,2015-01-12,,,,,,,,,,,
7,2015-01-13,,,,,,,,,,,
8,2015-01-14,,,,,,,,,,,
9,2015-01-15,,,,,,,,,,,
10,2015-01-16,,,,,,,,,,,
11,2015-01-20,,,,,,,,,,,
12,2015-01-21,,,,,,,,,,,
13,2015-01-22,,,,,,,,,,,
14,2015-01-23,,,,,,,,,,,
15,2015-01-26,,,,,,,,,,,
16,2015-01-27,,,,,,,,,,,
17,2015-01-28,,,,,,,,,,,
18,2015-01-29,,,,,,,,,,,
19,2015-01-30,,,,,,,,,,,
20,2015-02-02,,,,,,,,,,,
21,2015-02-03,,,,,,,,,,,
22,2015-02-04,,,,,,,,,,,
23,2015-02-05,,,,,,,,,,,
24,2015-02-06,,,,,,,,,,,
25,2015-02-09,,,,,,,,,,,
26,2015-02-10,,,,,,,,,,,
27,2015-02-11,,,,,,,,,,,
28,2015-02-12,,,,,,,,,,,
29,2015-02-13,,,,,,,,,,,
30,2015-02-17,,,,,,,,,,,
31,2015-02-18,,,,,,,,,,,
32,2015-02-19,,,,,,,,,,,
33,2015-02-20,,,,,,,,,,,
34,2015-02-23,,,,,,,,,,,
35,2015-02-24,,,,,,,,,,,
36,2015-02-25,,,,,,,,,,,
37,2015-02-26,,,,,,,,,,,
38,2015-02-27,,,,,,,,,,,
39,2015-03-02,,,,,,,,,,,
40,2015-03-03,,,,,,,,,,,
41,2015-03-04,,,,,,,,,,,
42,2015-03-05,,,,,,,,,,,
43,2015-03-06,,,,,,,,,,,
44,2015-03-09,,,,,,,,,,,
45,2015-03-10,,,,,,,,,,,
46,2015-03-11,,,,,,,,,,,
47,2015-03-12,,,,,,,,,,,
48,2015-03-13,,,,,,,,,,,
49,2015-03-16,,,,,,,,,,,
50,2015-03-17,,,,,,,,,,,
51,2015-03-18,,,,,,,,,,,
52,2015-03-19,,,,,,,,,,,
53,2015-03-20,,,,,,,,,,,
54,2015-03-23,,,,,,,,,,,
55,2015-03-24,,,,,,,,,,,
56,2015-03-25,,,,,,,,,,,
57,2015-03-26,,,,,,,,,,,
58,2015-03-27,,,,,,,,,,,
59,2015-03-30,,,,,,,,,,,
60,2015-03-31,3518.0,2531.0,987.0,-245.0,-398.0,6120.0,28.055713473564523,-6.964184195565662,-0.64,-59.59,-7.1
61,2015-04-01,3520.936507936508,2533.936507936508,987.0,-247.25396825396825,-399.95238095238096,6125.523809523809,28.033465073543052,-7.019530250989709,-0.643015873015873,-59.677777777777784,-7.125396825396825
62,2015-04-02,3523.873015873016,2536.873015873016,987.0,-249.5079365079365,-401.9047619047619,6131.047619047619,28.011216673521577,-7.0748763064137545,-0.6460317460317461,-59.76555555555556,-7.15079365079365
63,2015-04-06,3526.809523809524,2539.809523809524,987.0,-251.76190476190476,-403.85714285714283,6136.571428571428,27.988968273500106,-7.130222361837801,-0.6490476190476191,-59.85333333333334,-7.176190476190476
64,2015-04-07,3529.746031746032,2542.746031746032,987.0,-254.015873015873,-405.8095238095238,6142.0952380952385,27.96671987347863,-7.185568417261847,-0.6520634920634921,-59.94111111111111,-7.201587301587301
65,2015-04-08,3532.6825396825398,2545.6825396825398,987.0,-256.26984126984127,-407.76190476190476,6147.619047619048,27.94447147345716,-7.240914472685894,-0.655079365079365,-60.02888888888889,-7.226984126984126
66,2015-04-09,3535.6190476190477,2548.6190476190477,987.0,-258.5238095238095,-409.7142857142857,6153.142857142857,27.922223073435685,-7.29626052810994,-0.6580952380952381,-60.11666666666667,-7.252380952380952
67,2015-04-10,3538.5555555555557,2551.5555555555557,987.0,-260.77777777777777,-411.6666666666667,6158.666666666667,27.899974673414214,-7.351606583533987,-0.6611111111111111,-60.20444444444445,-7.277777777777778
68,2015-04-13,3541.4920634920636,2554.4920634920636,987.0,-263.031746031746,-413.6190476190476,6164.190476190476,27.87772627339274,-7.406952638958033,-0.6641269841269841,-60.29222222222223,-7.303174603174603
69,2015-04-14,3544.4285714285716,2557.4285714285716,987.0,-265.2857142857143,-415.57142857142856,6169.714285714285,27.855477873371267,-7.4622986943820795,-0.6671428571428571,-60.38,-7.328571428571428
70,2015-04-15,3547.3650793650795,2560.3650793650795,987.0,-267.53968253968253,-417.5238095238095,6175.238095238095,27.833229473349792,-7.517644749806125,-0.6701587301587302,-60.46777777777778,-7.353968253968254
71,2015-04-16,3550.3015873015875,2563.3015873015875,987.0,-269.7936507936508,-419.4761904761905,6180.761904761905,27.81098107332832,-7.572990805230172,-0.6731746031746032,-60.55555555555556,-7.379365079365079
72,2015-04-17,3553.2380952380954,2566.2380952380954,987.0,-272.04761904761904,-421.42857142857144,6186.285714285715,27.788732673306846,-7.628336860654218,-0.6761904761904762,-60.64333333333334,-7.404761904761904
73,2015-04-20,3556.1746031746034,2569.1746031746034,987.0,-274.3015873015873,-423.3809523809524,6191.809523809524,27.766484273285375,-7.683682916078265,-0.6792063492063493,-60.73111111111111,-7.4301587301587295
74,2015-04-21,3559.1111111111113,2572.1111111111113,987.0,-276.55555555555554,-425.3333333333333,6197.333333333333,27.7442358732639,-7.739028971502311,-0.6822222222222223,-60.81888888888889,-7.455555555555555
75,2015-04-22,3562.0476190476193,2575.0476190476193,987.0,-278.8095238095238,-427.2857142857143,6202.857142857143,27.72198747324243,-7.794375026926358,-0.6852380952380952,-60.90666666666667,-7.48095238095238
76,2015-04-23,3564.9841269841268,2577.9841269841268,987.0,-281.06349206349205,-429.23809523809524,6208.380952380952,27.699739073220954,-7.849721082350404,-0.6882539682539682,-60.99444444444445,-7.506349206349206
77,2015-04-24,3567.9206349206347,2580.9206349206347,987.0,-283.3174603174603,-431.1904761904762,6213.9047619047615,27.677490673199483,-7.90506713777445,-0.6912698412698413,-61.08222222222223,-7.531746031746032
78,2015-04-27,3570.8571428571427,2583.8571428571427,987.0,-285.57142857142856,-433.1428571428571,6219.428571428572,27.655242273178008,-7.960413193198496,-0.6942857142857143,-61.17,-7.557142857142857
79,2015-04-28,3573.7936507936506,2586.7936507936506,987.0,-287.8253968253968,-435.0952380952381,6224.952380952381,27.632993873156536,-8.015759248622544,-0.6973015873015873,-61.25777777777778,-7.582539682539682
80,2015-04-29,3576.7301587301586,2589.7301587301586,987.0,-290.07936507936506,-437.04761904761904,6230.476190476191,27.61074547313506,-8.07110530404659,-0.7003174603174603,-61.345555555555556,-7.6079365079365076
81,2015-04-30,3579.6666666666665,2592.6666666666665,987.0,-292.3333333333333,-439.0,6236.0,27.58849707311359,-8.126451359470636,-0.7033333333333334,-61.43333333333334,-7.633333333333333
82,2015-05-01,3582.6031746031745,2595.6031746031745,987.0,-294.58730158730157,-440.95238095238096,6241.523809523809,27.566248673092115,-8.181797414894682,-0.7063492063492064,-61.52111111111112,-7.658730158730158
83,2015-05-04,3585.5396825396824,2598.5396825396824,987.0,-296.8412698412698,-442.9047619047619,6247.047619047619,27.544000273070644,-8.237143470318728,-0.7093650793650794,-61.60888888888889,-7.6841269841269835
84,2015-05-05,3588.4761904761904,2601.4761904761904,987.0,-299.0952380952381,-444.85714285714283,6252.571428571428,27.52175187304917,-8.292489525742775,-0.7123809523809523,-61.69666666666667,-7.709523809523809
85,2015-05-06,3591.4126984126983,2604.4126984126983,987.0,-301.3492063492063,-446.8095238095238,6258.0952380952385,27.499503473027698,-8.347835581166821,-0.7153968253968254,-61.784444444444446,-7.734920634920634
86,2015-05-07,3594.3492063492063,2607.3492063492063,987.0,-303.6031746031746,-448.76190476190476,6263.619047619048,27.477255073006223,-8.403181636590867,-0.7184126984126984,-61.87222222222223,-7.760317460317459
87,2015-05-08,3597.285714285714,2610.285714285714,987.0,-305.85714285714283,-450.7142857142857,6269.142857142857,27.45500667298475,-8.458527692014915,-0.7214285714285714,-61.96,-7.785714285714285
88,2015-05-11,3600.222222222222,2613.222222222222,987.0,-308.1111111111111,-452.6666666666667,6274.666666666667,27.432758272963277,-8.51387374743896,-0.7244444444444444,-62.04777777777778,-7.811111111111111
89,2015-05-12,3603.15873015873,2616.15873015873,987.0,-310.3650793650794,-454.6190476190476,6280.190476190476,27.410509872941805,-8.569219802863007,-0.7274603174603175,-62.13555555555556,-7.836507936507936
90,2015-05-13,3606.095238095238,2619.095238095238,987.0,-312.6190476190476,-456.57142857142856,6285.714285714285,27.38826147292033,-8.624565858287053,-0.7304761904761905,-62.223333333333336,-7.8619047619047615
91,2015-05-14,3609.031746031746,2622.031746031746,987.0,-314.8730158730159,-458.5238095238095,6291.238095238095,27.36601307289886,-8.6799119137111,-0.7334920634920635,-62.31111111111112,-7.887301587301587
92,2015-05-15,3611.968253968254,2624.968253968254,987.0,-317.1269841269841,-460.4761904761905,6296.761904761905,27.343764672877384,-8.735257969135146,-0.7365079365079366,-62.39888888888889,-7.912698412698412
